"2017","JH JH","1.8 litre, F18D4 (LUW) I4 16v DOHC VVT MPFI {104KW}","03/13~On,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2017","JH JH","1.8 litre, F18D4 (LUW) I4 16v DOHC VVT MPFI {104KW}","03/13~On,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2016","JH JA35","1.8 litre, F18D4 (LUW) I4 16v DOHC VVT MPFI {104KW}","01/13~On,CD, CDX,4D,Wagon,FWD,AT,[SOUTH KOREA],"
"2016","JH JH","1.6 litre, A16LET I4 16v DOHC Turbo MPFI {132KW}",""
"2016","JH JH","1.8 litre, F18D4 (LUW) I4 16v DOHC VVT MPFI {104KW}","03/13~On,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2016","JH JH","1.8 litre, F18D4 (LUW) I4 16v DOHC VVT MPFI {104KW}","03/13~On,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2015","JH JA35","1.8 litre, F18D4 (LUW) I4 16v DOHC VVT MPFI {104KW}","01/13~On,CD, CDX,4D,Wagon,FWD,AT,[SOUTH KOREA],"
"2015","JH JA35","2.0 litre, DIESEL, Z20D1 I4 16v DOHC Turbo CRD {120KW}",""
"2015","JH JH","1.4 litre, A14NET (LUJ) I4 16v DOHC VVT Turbo MPFI {103KW}","11/11~,01/15,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2015","JH JH","1.4 litre, A14NET (LUJ) I4 16v DOHC VVT Turbo MPFI {103KW}","03/11~,01/15,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2015","JH JH","1.6 litre, A16LET I4 16v DOHC Turbo MPFI {132KW}","03/13~On,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2015","JH JH","1.6 litre, A16LET I4 16v DOHC Turbo MPFI {132KW}","03/13~On,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2015","JH JH","1.8 litre, F18D4 (LUW) I4 16v DOHC VVT MPFI {104KW}","03/13~On,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
